97 1224
89 94 0
6 5 0
51 5 0
70 37 0
70 57 0
70 72 0
37 72 0
57 72 0
66 37 0
66 72 0.784883
66 38 0
37 38 0
72 38 0.825929
21 73 0
48 4 0
48 51 0
48 3 0
4 3 0
1 25 0
1 55 1.96474
1 3 0
25 55 0.290906
25 3 0
55 3 0
39 10 1.35025
39 7 1.08909
39 63 3.92471
10 7 1.04643
10 63 3.99584
7 63 4.00089
25 7 0
25 10 0
25 24 0
7 24 0
10 24 0
40 9 0.792466
40 35 0
40 43 0
9 35 0
9 43 0
35 43 0
65 89 0
65 73 0
12 6 2.46945
12 43 0
12 3 0
12 5 0
27 5 0
86 87 0
86 84 0
87 84 0
87 53 0
84 53 0
10 28 0
28 25 0
28 24 0
67 95 0
67 74 0.884085
67 20 0
95 74 0
95 20 0
74 20 0
62 69 0.634527
62 95 3.78533
69 74 0
69 95 3.97731
24 29 0
24 3 0
29 25 0
29 3 0
0 29 0
0 3 0
0 12 0
12 29 0
37 46 0
37 24 0
46 32 0
46 24 0
32 24 0
15 20 0
15 28 0
15 29 0
20 28 0
20 29 0
28 29 0
28 19 0
20 19 0
19 29 0
19 8 0
23 29 0
24 51 0
24 4 0
24 40 0
40 51 0
40 3 0.51617
19 25 0
60 34 0
34 86 0
86 19 0
60 19 0
19 74 0
20 86 0
86 67 3.96254
40 32 0
27 26 0
80 64 0
23 77 0
64 77 0
50 43 0
64 75 0
15 87 0
15 67 0.0305193
87 67 0
84 67 0
45 20 0
67 28 0
7 84 1.24293
86 15 0
86 28 0
30 39 0
63 31 0
32 35 0
83 59 0
69 47 3.93977
69 20 0
21 80 0
0 78 0
78 33 0
78 45 0
67 62 1.52122
65 77 0
60 54 0
54 86 0
86 56 0
69 56 0
69 52 0
64 92 0
64 22 0
24 45 0
45 29 0
12 45 0
39 42 0
58 56 0
58 52 0
9 3 0
23 89 0
87 57 0
87 88 0
70 66 0
21 43 0
27 52 0
52 36 0
68 30 0.308518
66 30 0
93 30 2.0156
0 33 3.98953
18 33 3.81361
45 33 0.0265471
18 36 1.41868
36 45 0
36 33 3.40168
46 9 3.8116
44 46 0.912273
32 9 0
84 38 0
84 31 0
53 38 0
38 31 0
66 31 0
31 72 0
57 38 0
57 53 0
47 58 0
55 16 2.64561
19 16 0
54 81 0
54 45 0
36 81 0
81 45 0.162538
60 72 0
69 60 0
58 23 0
61 52 0
82 51 0
35 51 1.41213
48 24 0
36 78 0
52 78 0
78 12 0
24 35 0
95 47 1.07328
47 74 0
46 49 0
56 27 0
56 41 0
56 36 0
27 41 0
41 36 0
52 41 3.41374
65 80 0
72 53 0
26 41 0
26 52 0
34 30 0
14 55 0.248522
55 80 0
10 42 0
42 55 1.14951
66 39 0
39 38 0
39 31 0.139447
91 1 0
91 42 0
94 80 0
80 79 0
34 39 0
34 31 0
26 58 0
10 84 0
10 86 0
84 63 0.2308
63 86 0
85 16 0
85 22 0
81 62 4.0059
81 60 0
81 86 1.01205
55 2 0
2 19 0
16 11 0.182468
1 11 0.540517
1 16 0.62846
54 56 0
45 47 0
17 56 0
60 20 0
75 74 0
60 87 0
58 71 0
58 73 0
2 75 0
19 75 1.8739
34 75 0
50 75 0
75 8 0
22 8 0
78 61 0
30 70 0
54 48 0.114346
54 87 0
87 56 0
22 96 0
96 2 0
68 70 1.91516
18 81 0
15 81 0
83 94 0
36 60 0
78 58 0
47 78 2.37176
47 52 0
78 60 0
69 78 0.956648
36 69 0
13 14 0
54 67 0
67 81 3.86332
36 62 0
45 95 0
95 15 0
63 38 0
9 82 0
49 84 3.32586
82 80 0
68 91 0.889649
44 83 0
10 15 0
87 24 0
17 87 0
91 16 0
11 91 2.67174
30 91 3.37152
90 92 3.69613
8 92 0
92 50 0
81 95 1.04445
36 95 0
45 69 0
92 96 0
96 82 0
14 85 0
14 91 0
14 96 0
85 91 1.64306
85 96 0
93 91 3.86443
93 96 0
93 76 0.820481
76 91 0.322902
76 13 0
96 68 0
68 76 3.96469
96 66 0
0 0 
